name,ability,hp,atk,def,spdef,spatk,spd,gender,evolution_level,evolves_into,method,egg_group
bulbasaur,"overgrow, chlorophyll",45,49,49,65,65,45,87.5% Male, 12.5% Female,16,ivysaur,level-up,"monster, plant"
ivysaur,"overgrow, chlorophyll",60,62,63,80,80,60,87.5% Male, 12.5% Female,16,ivysaur,level-up,"monster, plant"
venusaur,"overgrow, chlorophyll",80,82,83,100,100,80,87.5% Male, 12.5% Female,16,ivysaur,level-up,"monster, plant"
charmander,"blaze, solar-power",39,52,43,50,60,65,87.5% Male, 12.5% Female,16,charmeleon,level-up,"monster, dragon"
charmeleon,"blaze, solar-power",58,64,58,65,80,80,87.5% Male, 12.5% Female,16,charmeleon,level-up,"monster, dragon"
charizard,"blaze, solar-power",78,84,78,85,109,100,87.5% Male, 12.5% Female,16,charmeleon,level-up,"monster, dragon"
squirtle,"torrent, rain-dish",44,48,65,64,50,43,87.5% Male, 12.5% Female,16,wartortle,level-up,"monster, water1"
wartortle,"torrent, rain-dish",59,63,80,80,65,58,87.5% Male, 12.5% Female,16,wartortle,level-up,"monster, water1"
blastoise,"torrent, rain-dish",79,83,100,105,85,78,87.5% Male, 12.5% Female,16,wartortle,level-up,"monster, water1"
caterpie,"shield-dust, run-away",45,30,35,20,20,45,50% Male, 50% Female,7,metapod,level-up,"bug"
metapod,"shed-skin",50,20,55,25,25,30,50% Male, 50% Female,7,metapod,level-up,"bug"
butterfree,"compound-eyes, tinted-lens",60,45,50,80,90,70,50% Male, 50% Female,7,metapod,level-up,"bug"
weedle,"shield-dust, run-away",40,35,30,20,20,50,50% Male, 50% Female,7,kakuna,level-up,"bug"
kakuna,"shed-skin",45,25,50,25,25,35,50% Male, 50% Female,7,kakuna,level-up,"bug"
beedrill,"swarm, sniper",65,90,40,80,45,75,50% Male, 50% Female,7,kakuna,level-up,"bug"
pidgey,"keen-eye, tangled-feet, big-pecks",40,45,40,35,35,56,50% Male, 50% Female,18,pidgeotto,level-up,"flying"
pidgeotto,"keen-eye, tangled-feet, big-pecks",63,60,55,50,50,71,50% Male, 50% Female,18,pidgeotto,level-up,"flying"
pidgeot,"keen-eye, tangled-feet, big-pecks",83,80,75,70,70,101,50% Male, 50% Female,18,pidgeotto,level-up,"flying"
rattata,"run-away, guts, hustle",30,56,35,35,25,72,50% Male, 50% Female,20,raticate,level-up,"ground"
raticate,"run-away, guts, hustle",55,81,60,70,50,97,50% Male, 50% Female,20,raticate,level-up,"ground"
spearow,"keen-eye, sniper",40,60,30,31,31,70,50% Male, 50% Female,20,fearow,level-up,"flying"
fearow,"keen-eye, sniper",65,90,65,61,61,100,50% Male, 50% Female,20,fearow,level-up,"flying"
ekans,"intimidate, shed-skin, unnerve",35,60,44,54,40,55,50% Male, 50% Female,22,arbok,level-up,"ground, dragon"
arbok,"intimidate, shed-skin, unnerve",60,95,69,79,65,80,50% Male, 50% Female,22,arbok,level-up,"ground, dragon"
pikachu,"static, lightning-rod",35,55,40,50,50,90,50% Male, 50% Female,,pikachu,level-up,"ground, fairy"
raichu,"static, lightning-rod",60,90,55,80,90,110,50% Male, 50% Female,,pikachu,level-up,"ground, fairy"
sandshrew,"sand-veil, sand-rush",50,75,85,30,20,40,50% Male, 50% Female,22,sandslash,level-up,"ground"
sandslash,"sand-veil, sand-rush",75,100,110,55,45,65,50% Male, 50% Female,22,sandslash,level-up,"ground"
nidoran-f,"poison-point, rivalry, hustle",55,47,52,40,40,41,Female only,16,nidorina,level-up,"monster, ground"
nidorina,"poison-point, rivalry, hustle",70,62,67,55,55,56,Female only,16,nidorina,level-up,"no-eggs"
nidoqueen,"poison-point, rivalry, sheer-force",90,92,87,85,75,76,Female only,16,nidorina,level-up,"no-eggs"
nidoran-m,"poison-point, rivalry, hustle",46,57,40,40,40,50,Male only,16,nidorino,level-up,"monster, ground"
nidorino,"poison-point, rivalry, hustle",61,72,57,55,55,65,Male only,16,nidorino,level-up,"monster, ground"
nidoking,"poison-point, rivalry, sheer-force",81,102,77,75,85,85,Male only,16,nidorino,level-up,"monster, ground"
clefairy,"cute-charm, magic-guard, friend-guard",70,45,48,65,60,35,25% Male, 75% Female,,clefairy,level-up,"fairy"
clefable,"cute-charm, magic-guard, unaware",95,70,73,90,95,60,25% Male, 75% Female,,clefairy,level-up,"fairy"
vulpix,"flash-fire, drought",38,41,40,65,50,65,25% Male, 75% Female,,ninetales,use-item,"ground"
ninetales,"flash-fire, drought",73,76,75,100,81,100,25% Male, 75% Female,,ninetales,use-item,"ground"
jigglypuff,"cute-charm, competitive, friend-guard",115,45,20,25,45,20,25% Male, 75% Female,,jigglypuff,level-up,"fairy"
wigglytuff,"cute-charm, competitive, frisk",140,70,45,50,85,45,25% Male, 75% Female,,jigglypuff,level-up,"fairy"
zubat,"inner-focus, infiltrator",40,45,35,40,30,55,50% Male, 50% Female,22,golbat,level-up,"flying"
golbat,"inner-focus, infiltrator",75,80,70,75,65,90,50% Male, 50% Female,22,golbat,level-up,"flying"
oddish,"chlorophyll, run-away",45,50,55,65,75,30,50% Male, 50% Female,21,gloom,level-up,"plant"
gloom,"chlorophyll, stench",60,65,70,75,85,40,50% Male, 50% Female,21,gloom,level-up,"plant"
vileplume,"chlorophyll, effect-spore",75,80,85,90,110,50,50% Male, 50% Female,21,gloom,level-up,"plant"
paras,"effect-spore, dry-skin, damp",35,70,55,55,45,25,50% Male, 50% Female,24,parasect,level-up,"bug, plant"
parasect,"effect-spore, dry-skin, damp",60,95,80,80,60,30,50% Male, 50% Female,24,parasect,level-up,"bug, plant"
venonat,"compound-eyes, tinted-lens, run-away",60,55,50,55,40,45,50% Male, 50% Female,31,venomoth,level-up,"bug"
venomoth,"shield-dust, tinted-lens, wonder-skin",70,65,60,75,90,90,50% Male, 50% Female,31,venomoth,level-up,"bug"
diglett,"sand-veil, arena-trap, sand-force",10,55,25,45,35,95,50% Male, 50% Female,26,dugtrio,level-up,"ground"
dugtrio,"sand-veil, arena-trap, sand-force",35,100,50,70,50,120,50% Male, 50% Female,26,dugtrio,level-up,"ground"
meowth,"pickup, technician, unnerve",40,45,35,40,40,90,50% Male, 50% Female,28,persian,level-up,"ground"
persian,"limber, technician, unnerve",65,70,60,65,65,115,50% Male, 50% Female,28,persian,level-up,"ground"
psyduck,"damp, cloud-nine, swift-swim",50,52,48,50,65,55,50% Male, 50% Female,33,golduck,level-up,"water1, ground"
golduck,"damp, cloud-nine, swift-swim",80,82,78,80,95,85,50% Male, 50% Female,33,golduck,level-up,"water1, ground"
mankey,"vital-spirit, anger-point, defiant",40,80,35,45,35,70,50% Male, 50% Female,28,primeape,level-up,"ground"
primeape,"vital-spirit, anger-point, defiant",65,105,60,70,60,95,50% Male, 50% Female,28,primeape,level-up,"ground"
growlithe,"intimidate, flash-fire, justified",55,70,45,50,70,60,75% Male, 25% Female,,arcanine,use-item,"ground"
arcanine,"intimidate, flash-fire, justified",90,110,80,80,100,95,75% Male, 25% Female,,arcanine,use-item,"ground"
poliwag,"water-absorb, damp, swift-swim",40,50,40,40,40,90,50% Male, 50% Female,25,poliwhirl,level-up,"water1"
poliwhirl,"water-absorb, damp, swift-swim",65,65,65,50,50,90,50% Male, 50% Female,25,poliwhirl,level-up,"water1"
poliwrath,"water-absorb, damp, swift-swim",90,95,95,90,70,70,50% Male, 50% Female,25,poliwhirl,level-up,"water1"
abra,"synchronize, inner-focus, magic-guard",25,20,15,55,105,90,75% Male, 25% Female,16,kadabra,level-up,"humanshape"
kadabra,"synchronize, inner-focus, magic-guard",40,35,30,70,120,105,75% Male, 25% Female,16,kadabra,level-up,"humanshape"
alakazam,"synchronize, inner-focus, magic-guard",55,50,45,95,135,120,75% Male, 25% Female,16,kadabra,level-up,"humanshape"
machop,"guts, no-guard, steadfast",70,80,50,35,35,35,75% Male, 25% Female,28,machoke,level-up,"humanshape"
machoke,"guts, no-guard, steadfast",80,100,70,60,50,45,75% Male, 25% Female,28,machoke,level-up,"humanshape"
machamp,"guts, no-guard, steadfast",90,130,80,85,65,55,75% Male, 25% Female,28,machoke,level-up,"humanshape"
bellsprout,"chlorophyll, gluttony",50,75,35,30,70,40,50% Male, 50% Female,21,weepinbell,level-up,"plant"
weepinbell,"chlorophyll, gluttony",65,90,50,45,85,55,50% Male, 50% Female,21,weepinbell,level-up,"plant"
victreebel,"chlorophyll, gluttony",80,105,65,70,100,70,50% Male, 50% Female,21,weepinbell,level-up,"plant"
tentacool,"clear-body, liquid-ooze, rain-dish",40,40,35,100,50,70,50% Male, 50% Female,30,tentacruel,level-up,"water3"
